City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
241,Coihaique,CL,2021-10-14 20:44:43,-45.5752,-72.0662,48.81,61,75,11.5
242,Mana,GF,2021-10-14 20:44:43,5.6592,-53.7767,80.96,81,55,9.84
243,Plettenberg Bay,ZA,2021-10-14 20:44:44,-34.0527,23.3716,59.16,81,85,4.18
244,Nome,US,2021-10-14 20:37:03,64.5011,-165.4064,32.16,86,90,0.0
245,Mehamn,NO,2021-10-14 20:44:46,71.0357,27.8492,33.75,80,0,6.91
246,San Quintin,MX,2021-10-14 20:39:04,30.4833,-115.95,72.0,43,0,13.71
247,Paraguari,PY,2021-10-14 20:44:47,-25.6208,-57.1472,85.86,72,24,7.2
248,Pangai,TO,2021-10-14 20:44:48,-19.8,-174.35,78.91,53,20,2.3
249,Cayenne,GF,2021-10-14 20:44:48,4.9333,-52.3333,86.04,80,0,5.99
250,Lompoc,US,2021-10-14 20:36:00,34.6391,-120.4579,82.85,45,1,12.66
251,Kenai,US,2021-10-14 20:38:31,60.5544,-151.2583,39.15,95,90,0.0
252,Muros,ES,2021-10-14 20:44:49,42.7762,-9.0603,63.84,84,71,2.15
253,Jalu,LY,2021-10-14 20:35:45,29.0331,21.5482,78.93,27,0,4.79
254,Akhmeta,GE,2021-10-14 20:44:50,42.0311,45.2075,61.32,57,20,0.22
255,Marau,BR,2021-10-14 20:44:51,-28.4492,-52.2,82.35,91,64,0.67
256,Mahebourg,MU,2021-10-14 20:44:51,-20.4081,57.7,73.69,73,20,8.05
257,Mbandaka,CD,2021-10-14 20:44:52,0.0487,18.2603,73.78,90,94,1.59
258,Saint-Joseph,RE,2021-10-14 20:35:59,-21.3667,55.6167,70.18,82,28,10.69
259,West Odessa,US,2021-10-14 20:44:53,31.8424,-102.4988,87.4,18,1,14.97
260,Sabla,NG,2021-10-14 20:44:53,12.7525,4.7077,86.05,27,9,5.77
261,Middelburg,ZA,2021-10-14 20:42:47,-25.7751,29.4648,71.55,9,0,3.33
262,San Benito,US,2021-10-14 20:44:54,36.6166,-121.0844,68.94,32,2,8.81
